year,faction_type,total_power,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,factions_count
1971,ideological_network,0.52,0.081,67.18,67.18,1.49,1.49,1
1971,socioeconomic_network,0.48,0.0748,67.18,67.18,1.49,1.49,1
1972,institutional_network,6.0005,0.7965,63.08,62.09,3.9,4.2,5
1972,party,0.533,0.0708,59.02,59.02,3.5,3.5,1
1972,ideological_network,0.52,0.069,68.18,68.18,2.5,2.5,1
1972,socioeconomic_network,0.48,0.0637,68.18,68.18,2.5,2.5,1
1973,institutional_network,3.4415,0.6919,65.68,66.28,5.0,5.43,4
1973,party,0.533,0.1071,60.02,60.02,4.5,4.5,1
1973,ideological_network,0.52,0.1045,69.18,69.18,3.5,3.5,1
1973,socioeconomic_network,0.48,0.0965,69.18,69.18,3.5,3.5,1
1974,institutional_network,5.3855,0.8434,64.57,63.62,4.29,4.19,5
1974,ideological_network,0.52,0.0814,70.18,70.18,4.5,4.5,1
1974,socioeconomic_network,0.48,0.0752,70.18,70.18,4.5,4.5,1
1975,institutional_network,5.3855,0.8434,65.57,64.62,5.29,5.19,5
1975,ideological_network,0.52,0.0814,71.18,71.18,5.49,5.49,1
1975,socioeconomic_network,0.48,0.0752,71.18,71.18,5.49,5.49,1
1976,institutional_network,3.9425,0.7977,68.21,68.95,6.3,7.18,5
1976,ideological_network,0.52,0.1052,72.18,72.18,6.5,6.5,1
1976,socioeconomic_network,0.48,0.0971,72.18,72.18,6.5,6.5,1
1977,institutional_network,3.8925,0.7175,67.24,66.9,4.7,4.52,5
1977,ideological_network,1.053,0.194,66.72,66.64,4.0,3.96,2
1977,socioeconomic_network,0.48,0.0885,73.18,73.18,7.5,7.5,1
1978,institutional_network,3.8925,0.7175,60.35,60.15,2.6,2.47,5
1978,ideological_network,1.053,0.194,57.28,57.33,0.99,1.0,2
1978,socioeconomic_network,0.48,0.0885,53.31,53.31,0.5,0.5,1
1979,institutional_network,3.8925,0.6769,61.35,61.15,3.59,3.47,5
1979,ideological_network,1.378,0.2396,54.95,56.11,1.5,1.65,2
1979,socioeconomic_network,0.48,0.0835,54.31,54.31,1.49,1.49,1
1980,institutional_network,3.2775,0.6608,61.16,61.34,4.3,4.42,5
1980,ideological_network,0.845,0.1703,51.36,51.69,1.5,1.5,2
1980,socioeconomic_network,0.8375,0.1689,48.75,49.34,1.0,1.07,1
1981,institutional_network,5.8685,0.7772,63.73,62.68,4.55,3.25,5
1981,ideological_network,0.845,0.1119,52.36,52.69,2.5,2.5,2
1981,socioeconomic_network,0.8375,0.1109,49.75,50.34,2.0,2.07,1
1982,institutional_network,5.8685,0.7772,64.73,63.68,5.55,4.24,5
1982,ideological_network,0.845,0.1119,53.36,53.69,3.5,3.5,2
1982,socioeconomic_network,0.8375,0.1109,50.74,51.34,3.0,3.07,1
1983,institutional_network,5.3355,0.7066,66.21,65.75,6.53,5.4,5
1983,ideological_network,1.378,0.1825,56.77,57.73,3.75,3.34,2
1983,socioeconomic_network,0.8375,0.1109,51.74,52.34,4.0,4.07,1
1984,institutional_network,5.3355,0.7066,67.21,66.75,7.53,6.41,5
1984,ideological_network,1.378,0.1825,57.77,58.73,4.75,4.34,2
1984,socioeconomic_network,0.8375,0.1109,52.75,53.34,5.0,5.07,1
1985,institutional_network,6.0005,0.7304,67.15,67.1,7.73,6.64,5
1985,ideological_network,1.378,0.1677,58.77,59.73,5.75,5.34,2
1985,socioeconomic_network,0.8375,0.1019,53.75,54.34,6.0,6.07,1
1986,institutional_network,6.0005,0.7304,68.15,68.1,8.73,7.64,5
1986,ideological_network,1.378,0.1677,59.77,60.73,6.75,6.34,2
1986,socioeconomic_network,0.8375,0.1019,54.74,55.34,7.0,7.07,1
1987,institutional_network,3.299,0.5982,61.98,61.31,4.0,3.7,4
1987,ideological_network,1.378,0.2499,60.77,61.73,7.75,7.34,2
1987,socioeconomic_network,0.8375,0.1519,55.74,56.34,8.0,8.07,1
1988,institutional_network,4.415,0.6659,61.36,61.51,2.2,2.48,5
1988,ideological_network,1.378,0.2078,62.52,63.3,4.75,5.32,2
1988,socioeconomic_network,0.8375,0.1263,57.5,58.2,5.0,4.49,1
1989,institutional_network,4.415,0.6659,60.18,60.27,2.1,2.2,5
1989,ideological_network,0.845,0.1274,61.11,61.62,6.5,5.58,2
1989,socioeconomic_network,0.8375,0.1263,58.5,59.2,6.0,5.49,1
1989,party,0.533,0.0804,59.18,59.18,0.5,0.5,1
1990,institutional_network,4.415,0.6659,61.18,61.27,3.1,3.2,5
1990,ideological_network,0.845,0.1274,62.1,62.62,7.5,6.58,2
1990,socioeconomic_network,0.8375,0.1263,59.49,60.2,7.0,6.49,1
1990,party,0.533,0.0804,60.18,60.18,1.49,1.49,1
1991,institutional_network,4.415,0.6659,62.18,62.27,4.1,4.19,5
1991,ideological_network,0.845,0.1274,63.1,63.62,8.5,7.58,2
1991,socioeconomic_network,0.8375,0.1263,60.49,61.2,8.0,7.49,1
1991,party,0.533,0.0804,61.18,61.18,2.49,2.49,1
1992,institutional_network,4.9375,0.6903,61.98,61.23,4.77,4.81,5
1992,ideological_network,0.845,0.1181,64.1,64.62,9.5,8.58,2
1992,socioeconomic_network,0.8375,0.1171,61.49,62.2,9.0,8.49,1
1992,party,0.533,0.0745,62.18,62.18,3.5,3.5,1
1993,institutional_network,4.9375,0.6903,63.43,62.79,5.37,5.31,5
1993,ideological_network,1.378,0.1926,66.3,66.42,7.0,6.06,2
1993,socioeconomic_network,0.8375,0.1171,62.49,63.2,10.0,9.49,1
1994,institutional_network,5.46,0.7114,58.71,59.54,4.29,4.62,5
1994,ideological_network,1.378,0.1795,67.3,67.42,8.0,7.06,2
1994,socioeconomic_network,0.8375,0.1091,63.49,64.2,11.0,10.49,1
1995,institutional_network,5.46,0.7114,56.85,58.81,4.1,4.89,5
1995,ideological_network,1.378,0.1795,68.3,68.42,9.0,8.06,2
1995,socioeconomic_network,0.8375,0.1091,64.49,65.2,12.0,11.49,1
1996,institutional_network,6.125,0.7344,58.02,59.25,5.0,5.31,5
1996,ideological_network,1.378,0.1652,69.3,69.42,10.0,9.06,2
1996,socioeconomic_network,0.8375,0.1004,65.5,66.2,13.0,12.49,1
1997,institutional_network,6.125,0.7344,57.87,59.09,5.6,5.9,5
