year,ruler_person_id,ruler_name_ru,ruler_age,ruler_political_age,ruler_elite_age,ruler_ruling_circle_age,ruler_office_age,core_elite_count,core_mean_age,core_median_age,core_weighted_mean_age,core_mean_political_age,core_mean_elite_age,core_share_60_plus,core_share_70_plus,core_age_std,renewal_5y,events_count,max_event_severity,event_types,event_names
2017,putin,Владимир Путин,64.73,42.5,18.94,17.15,5.15,15,60.4,62.11,60.69,36.03,8.56,0.6,0.0,5.54,0.4,0,0,,
2018,putin,Владимир Путин,65.73,43.5,19.93,18.15,6.15,15,61.4,63.11,61.69,37.03,9.56,0.6,0.0,5.54,0.2,0,0,,
2019,putin,Владимир Путин,66.73,44.5,20.93,19.15,7.15,15,62.4,64.11,62.69,38.03,10.56,0.6,0.067,5.54,0.2,0,0,,
2020,putin,Владимир Путин,67.73,45.5,21.94,20.15,8.15,16,62.84,64.97,63.16,38.44,10.87,0.562,0.125,5.79,0.25,0,0,,
2021,putin,Владимир Путин,68.73,46.5,22.94,21.15,9.15,16,63.84,65.96,64.16,39.44,11.87,0.625,0.125,5.79,0.188,0,0,,
2022,putin,Владимир Путин,69.73,47.5,23.93,22.15,10.15,16,64.84,66.96,65.15,40.44,12.87,0.625,0.25,5.79,0.062,1,5,war,Полномасштабное вторжение в Украину
2023,putin,Владимир Путин,70.73,48.5,24.93,23.15,11.15,16,65.83,67.96,66.15,41.44,13.87,0.75,0.312,5.79,0.062,0,0,,
2024,putin,Владимир Путин,71.73,49.5,25.94,24.15,12.15,16,66.36,67.05,66.61,41.94,13.32,0.875,0.312,5.58,0.125,0,0,,
2025,putin,Владимир Путин,72.73,50.5,26.94,25.15,13.15,16,67.36,68.05,67.61,42.94,14.32,0.875,0.438,5.58,0.062,0,0,,
2026,putin,Владимир Путин,73.73,51.5,27.93,26.15,14.15,16,68.36,69.05,68.61,43.94,15.32,1.0,0.5,5.58,0.062,0,0,,
